,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"3,762,585","5,619","519,688,684",138.85,138.90,137.65,137.95,-,0.3,137.85,19,137.95,155,0.00
1,0051,元大中型100,"40,698",48,"2,091,519",51.60,51.60,51.15,51.40,-,0.2,51.40,3,51.45,47,0.00
2,0052,富邦科技,"1,023,885",671,"132,672,565",130.35,130.70,129.15,129.20,-,0.7,129.15,106,129.20,41,0.00
3,0053,元大電子,"21,192",23,"1,442,339",68.55,68.70,67.85,67.85,-,0.25,67.85,1,68.00,3,0.00
4,0054,元大台商50,"2,000",2,"63,830",31.91,31.92,31.91,31.92,-,0.01,31.88,2,32.15,1,0.00
5,0055,元大MSCI金融,"96,820",71,"1,892,817",19.63,19.63,19.50,19.55,-,0.07,19.52,19,19.55,5,0.00
6,0056,元大高股息,"7,735,811","6,631","268,307,069",34.75,34.76,34.64,34.70,-,0.05,34.69,34,34.70,38,0.00
7,0057,富邦摩台,"25,000",6,"2,337,350",93.90,93.90,93.35,93.45,+,0.05,93.05,1,93.35,16,0.00
8,0061,元大寶滬深,"400,367",119,"9,455,731",23.74,23.80,23.50,23.55,-,0.18,23.51,16,23.55,13,0.00
9,006203,元大MSCI台灣,"5,410",12,"351,939",65.50,65.50,64.90,64.90,-,0.2,64.90,35,65.00,1,0.00
10,006204,永豐臺灣加權,"3,000",2,"251,500",83.85,83.85,83.80,83.80,+,0.2,83.80,9,84.50,10,0.00
11,006205,富邦上証,"1,280,306",486,"48,876,848",38.67,38.67,38.08,38.14,-,0.51,38.13,5,38.14,194,0.00
12,006206,元大上證50,"318,190",98,"12,312,126",39.10,39.10,38.41,38.43,-,0.64,38.43,177,38.44,57,0.00
13,006207,FH滬深,"354,227",50,"10,805,808",30.77,30.77,30.33,30.35,-,0.45,30.35,11,30.36,23,0.00
14,006208,富邦台50,"1,133,623","1,601","89,909,867",79.50,79.60,79.10,79.15,-,0.25,79.10,39,79.15,6,0.00
15,00625K,富邦上証+R,"1,000",1,"8,930",8.93,8.93,8.93,8.93,-,0.04,8.74,5,8.93,1,0.00
16,00631L,元大台灣50正2,"1,607,300",749,"193,995,682",121.80,121.90,119.65,120.35,-,0.95,120.30,1,120.35,262,0.00
17,00632R,元大台灣50反1,"85,581,538","6,160","508,071,043",5.91,5.96,5.90,5.94,+,0.02,5.94,"13,491",5.95,"6,330",0.00
18,00633L,富邦上証正2,"8,363,345","2,495","554,144,958",68.20,68.40,65.65,65.85,-,2.25,65.80,45,65.85,24,0.00
19,00634R,富邦上証反1,"1,305,006",86,"5,186,896",3.92,3.99,3.92,3.98,+,0.06,3.98,16,3.99,555,0.00
20,00635U,期元大S&P黃金,"1,022,298",384,"24,192,091",23.65,23.71,23.61,23.61,+,0.14,23.60,27,23.61,83,0.00
21,00636,國泰中國A50,"2,273,266",792,"61,530,999",27.43,27.46,26.95,27.00,-,0.43,27.00,50,27.01,50,0.00
22,00636K,國泰中國A50+U,200,2,"1,892",9.46,9.46,9.46,9.46,-,0.19,9.44,12,9.51,12,0.00
23,00637L,元大滬深300正2,"65,012,802","12,079","1,696,648,918",26.80,26.85,25.84,25.87,-,0.88,25.87,490,25.88,133,0.00
24,00638R,元大滬深300反1,"893,384",163,"7,181,830",7.93,8.08,7.92,8.07,+,0.14,8.06,110,8.07,486,0.00
25,00639,富邦深100,"1,219,686",499,"19,723,663",16.33,16.33,16.10,16.12,-,0.21,16.12,7,16.13,42,0.00
26,00640L,富邦日本正2,"712,001",72,"20,910,759",29.50,29.50,29.28,29.35,+,0.34,29.34,2,29.37,149,0.00
27,00641R,富邦日本反1,"133,000",29,"1,409,220",10.60,10.63,10.56,10.60,-,0.08,10.60,50,10.62,50,0.00
28,00642U,期元大S&P石油,"9,685,851","1,399","99,051,956",10.26,10.26,10.20,10.20, ,0.0,10.20,"1,785",10.21,49,0.00
29,00643,群益深証中小,"811,412",410,"14,040,453",17.54,17.54,17.25,17.26,-,0.24,17.26,25,17.28,40,0.00
30,00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,4.01,2,4.08,1,0.00
31,00645,富邦日本,"135,769",74,"3,490,017",25.69,25.76,25.67,25.74,+,0.14,25.71,100,25.73,1,0.00
32,00646,元大S&P500,"189,280",197,"6,757,918",35.71,35.75,35.67,35.68, ,0.0,35.68,2,35.70,2,0.00
33,00647L,元大S&P500正2,"1,587,760",70,"95,444,734",60.15,60.20,59.95,59.95,+,0.1,59.95,71,60.05,30,0.00
34,00648R,元大S&P500反1,"583,000",70,"4,415,510",7.57,7.59,7.56,7.59, ,0.0,7.58,498,7.59,"1,508",0.00
35,00650L,FH香港正2,"1,131,150",101,"34,508,369",30.91,31.07,30.33,30.35,-,0.37,30.34,11,30.35,20,0.00
36,00651R,FH香港反1,"410,000",31,"2,836,030",6.88,6.95,6.88,6.95,+,0.04,6.94,11,6.96,150,0.00
37,00652,富邦印度,"129,983",96,"3,286,826",25.37,25.37,25.20,25.28,-,0.18,25.27,4,25.28,41,0.00
38,00653L,富邦印度正2,"1,109,200",349,"39,470,624",35.88,35.88,35.30,35.45,-,0.48,35.45,51,35.50,15,0.00
39,00654R,富邦印度反1,"81,000",40,"784,880",9.71,9.73,9.66,9.72,+,0.04,9.68,5,9.73,21,0.00
40,00655L,國泰中國A50正2,"4,449,472","1,441","219,166,865",50.50,50.75,48.72,48.82,-,1.78,48.82,159,48.83,2,0.00
41,00656R,國泰中國A50反1,"102,000",29,"753,290",7.35,7.40,7.35,7.39,+,0.13,7.38,101,7.39,98,0.00
42,00657,國泰日經225,"162,000",6,"5,949,020",36.66,36.78,36.59,36.74,+,0.26,36.74,4,36.75,80,0.00
43,00657K,國泰日經225+U,200,2,"2,580",12.90,12.90,12.90,12.90,+,0.1,12.87,12,12.94,12,0.00
44,00660,元大歐洲50,"26,000",23,"741,000",28.53,28.53,28.43,28.50,+,0.03,28.43,2,28.50,20,0.00
45,00661,元大日經225,"1,000",1,"37,280",37.28,37.28,37.28,37.28,+,0.22,37.39,15,37.58,15,0.00
46,00662,富邦NASDAQ,"133,361",161,"6,721,714",50.50,50.50,50.30,50.30,+,0.25,50.30,44,50.35,37,0.00
47,00663L,國泰臺灣加權正2,"83,000",26,"8,919,850",107.10,107.80,107.10,107.30,-,0.5,107.30,196,107.55,40,0.00
48,00664R,國泰臺灣加權反1,"2,485,899",269,"16,767,666",6.71,6.77,6.71,6.75,+,0.02,6.75,308,6.76,962,0.00
49,00665L,富邦恒生國企正2,"156,000",44,"4,008,280",26.00,26.26,25.48,25.61,-,0.39,25.51,12,25.56,36,0.00
50,00666R,富邦恒生國企反1,"70,000",2,"770,000",11.00,11.00,11.00,11.00,+,0.12,10.99,50,11.04,50,0.00
51,00668,國泰美國道瓊,"37,535",28,"1,292,786",34.46,34.46,34.42,34.46, ,0.0,34.45,4,34.46,1,0.00
52,00668K,國泰美國道瓊+U,200,2,"2,420",12.10,12.10,12.10,12.10, ,0.0,12.06,22,12.14,22,0.00
53,00669R,國泰美國道瓊反1,"1,206,100",163,"10,085,870",8.34,8.38,8.34,8.37,+,0.01,8.36,385,8.37,397,0.00
54,00670L,富邦NASDAQ正2,"1,354,253",354,"125,238,512",92.80,92.85,91.95,91.95,+,0.75,91.95,354,92.00,10,0.00
55,00671R,富邦NASDAQ反1,"3,259,000",270,"19,254,640",5.89,5.93,5.89,5.93,-,0.02,5.92,629,5.93,471,0.00
56,00673R,期元大S&P原油反1,"156,000",46,"2,988,660",19.11,19.21,19.11,19.21,-,0.04,19.20,4,19.21,149,0.00
57,00674R,期元大S&P黃金反1,"232,000",63,"3,178,700",13.71,13.73,13.68,13.72,-,0.1,13.73,7,13.75,149,0.00
